,location,total_sqft,bath,price,bhk,price_per_feet
115,7th Phase JP Nagar,1250.0,3.0,65.0,3.0,5200.0
116,7th Phase JP Nagar,1385.0,2.0,58.17,3.0,4200.0
117,7th Phase JP Nagar,1575.0,2.0,110.0,3.0,6984.126984126984
118,7th Phase JP Nagar,1850.0,3.0,140.0,3.0,7567.5675675675675
119,7th Phase JP Nagar,1575.0,2.0,120.0,3.0,7619.047619047619
120,7th Phase JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108
121,7th Phase JP Nagar,1680.0,3.0,120.0,3.0,7142.857142857143
122,7th Phase JP Nagar,1175.0,2.0,82.5,2.0,7021.276595744681
123,7th Phase JP Nagar,3300.0,4.0,160.0,3.0,4848.484848484848
124,7th Phase JP Nagar,2200.0,4.0,105.0,3.0,4772.727272727273
125,7th Phase JP Nagar,1215.0,2.0,90.0,2.0,7407.407407407408
126,7th Phase JP Nagar,1050.0,2.0,75.0,2.0,7142.857142857143
127,7th Phase JP Nagar,1300.0,3.0,89.13,3.0,6856.153846153846
128,7th Phase JP Nagar,1130.0,2.0,73.0,2.0,6460.1769911504425
129,7th Phase JP Nagar,1450.0,3.0,100.0,3.0,6896.551724137931
130,7th Phase JP Nagar,1350.0,3.0,58.0,3.0,4296.2962962962965
131,7th Phase JP Nagar,1050.0,2.0,50.0,2.0,4761.9047619047615
132,7th Phase JP Nagar,1275.0,2.0,87.0,2.0,6823.529411764706
133,7th Phase JP Nagar,1460.0,3.0,70.0,3.0,4794.520547945205
134,7th Phase JP Nagar,1650.0,3.0,110.0,3.0,6666.666666666667
135,7th Phase JP Nagar,850.0,2.0,42.0,2.0,4941.176470588235
136,7th Phase JP Nagar,1680.0,3.0,117.0,3.0,6964.285714285715
137,7th Phase JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108
138,7th Phase JP Nagar,1236.0,2.0,61.33,2.0,4961.974110032363
139,7th Phase JP Nagar,1000.0,2.0,53.0,2.0,5300.0
140,7th Phase JP Nagar,1680.0,3.0,125.0,3.0,7440.476190476191
141,7th Phase JP Nagar,1675.0,2.0,135.0,3.0,8059.701492537313
142,7th Phase JP Nagar,1187.0,2.0,59.0,2.0,4970.513900589722
143,7th Phase JP Nagar,1850.0,3.0,155.0,3.0,8378.378378378378
144,7th Phase JP Nagar,1000.0,2.0,61.0,2.0,6100.0
145,7th Phase JP Nagar,1460.0,2.0,100.0,3.0,6849.315068493151
146,7th Phase JP Nagar,1650.0,3.0,110.0,3.0,6666.666666666667
147,7th Phase JP Nagar,1200.0,2.0,62.5,2.0,5208.333333333333
148,7th Phase JP Nagar,1000.0,2.0,70.65,2.0,7065.000000000001
149,7th Phase JP Nagar,1080.0,2.0,75.0,2.0,6944.444444444444
150,7th Phase JP Nagar,1415.0,3.0,65.0,3.0,4593.639575971732
151,7th Phase JP Nagar,1680.0,3.0,125.0,3.0,7440.476190476191
152,7th Phase JP Nagar,1460.0,2.0,97.0,3.0,6643.835616438356
153,7th Phase JP Nagar,1120.0,2.0,65.0,2.0,5803.571428571428
154,7th Phase JP Nagar,1100.0,3.0,60.0,2.0,5454.545454545455
155,7th Phase JP Nagar,1790.0,3.0,120.0,3.0,6703.91061452514
156,7th Phase JP Nagar,1680.0,3.0,117.0,3.0,6964.285714285715
157,7th Phase JP Nagar,1050.0,2.0,77.0,2.0,7333.333333333333
158,7th Phase JP Nagar,1050.0,2.0,75.0,2.0,7142.857142857143
159,7th Phase JP Nagar,1040.0,2.0,75.0,2.0,7211.538461538462
160,7th Phase JP Nagar,1400.0,2.0,95.0,3.0,6785.714285714285
161,7th Phase JP Nagar,1800.0,3.0,130.0,3.0,7222.222222222223
162,7th Phase JP Nagar,1050.0,2.0,68.0,2.0,6476.190476190476
163,7th Phase JP Nagar,1000.0,2.0,60.0,2.0,6000.0
164,7th Phase JP Nagar,1680.0,3.0,125.0,3.0,7440.476190476191
165,7th Phase JP Nagar,1050.0,2.0,77.47,2.0,7378.0952380952385
166,7th Phase JP Nagar,1270.0,2.0,80.0,2.0,6299.212598425197
167,7th Phase JP Nagar,1463.0,2.0,61.45,3.0,4200.273410799727
168,7th Phase JP Nagar,1680.0,3.0,122.0,3.0,7261.9047619047615
169,7th Phase JP Nagar,1130.0,2.0,85.0,2.0,7522.123893805309
170,7th Phase JP Nagar,1680.0,3.0,130.0,3.0,7738.0952380952385
171,7th Phase JP Nagar,980.0,2.0,77.44,2.0,7902.040816326531
172,7th Phase JP Nagar,1680.0,3.0,112.0,3.0,6666.666666666667
173,7th Phase JP Nagar,1515.0,2.0,76.0,3.0,5016.501650165016
174,7th Phase JP Nagar,2095.0,3.0,150.0,3.0,7159.904534606205
175,7th Phase JP Nagar,1976.0,3.0,145.0,3.0,7338.056680161943
176,7th Phase JP Nagar,1600.0,2.0,110.0,3.0,6875.0
177,7th Phase JP Nagar,1765.0,3.0,118.0,3.0,6685.552407932011
178,7th Phase JP Nagar,1275.0,2.0,88.0,3.0,6901.9607843137255
179,7th Phase JP Nagar,1450.0,2.0,102.0,3.0,7034.482758620689
180,7th Phase JP Nagar,1575.0,2.0,110.0,3.0,6984.126984126984
181,7th Phase JP Nagar,1075.0,2.0,57.0,3.0,5302.325581395349
182,7th Phase JP Nagar,750.0,1.0,47.0,1.0,6266.666666666667
183,7th Phase JP Nagar,990.0,2.0,50.0,2.0,5050.50505050505
184,7th Phase JP Nagar,1000.0,1.0,60.0,1.0,6000.0
185,7th Phase JP Nagar,1680.0,2.0,92.0,3.0,5476.190476190476
186,7th Phase JP Nagar,1430.0,2.0,102.0,3.0,7132.867132867133
187,7th Phase JP Nagar,1128.0,2.0,60.0,2.0,5319.148936170212
188,7th Phase JP Nagar,1140.0,2.0,57.0,2.0,5000.0
189,7th Phase JP Nagar,1420.0,3.0,90.0,3.0,6338.028169014085
190,7th Phase JP Nagar,1530.0,2.0,108.0,2.0,7058.823529411765
191,8th Phase JP Nagar,451.0,1.0,29.9,1.0,6629.711751662971
192,8th Phase JP Nagar,1240.0,3.0,43.5,3.0,3508.064516129032
193,8th Phase JP Nagar,1062.0,2.0,42.47,2.0,3999.0583804143125
194,8th Phase JP Nagar,1230.0,2.0,43.5,3.0,3536.5853658536585
195,8th Phase JP Nagar,1455.0,3.0,73.31,3.0,5038.487972508591
196,8th Phase JP Nagar,871.0,2.0,55.0,2.0,6314.580941446613
197,8th Phase JP Nagar,1098.0,2.0,43.91,2.0,3999.089253187614
198,8th Phase JP Nagar,1800.0,3.0,80.0,3.0,4444.444444444444
199,8th Phase JP Nagar,2700.0,4.0,130.0,4.0,4814.814814814815
200,8th Phase JP Nagar,1080.0,2.0,38.0,2.0,3518.5185185185187
201,8th Phase JP Nagar,1059.0,2.0,34.5,2.0,3257.790368271955
202,8th Phase JP Nagar,1080.0,2.0,35.0,2.0,3240.740740740741
203,8th Phase JP Nagar,1275.0,2.0,41.5,3.0,3254.901960784314
204,8th Phase JP Nagar,1062.0,2.0,42.47,2.0,3999.0583804143125
205,8th Phase JP Nagar,500.0,1.0,31.0,1.0,6200.0
206,8th Phase JP Nagar,1100.0,2.0,35.0,2.0,3181.818181818182
207,8th Phase JP Nagar,2100.0,4.0,92.0,4.0,4380.952380952381
208,8th Phase JP Nagar,1035.0,2.0,39.33,2.0,3800.0
209,8th Phase JP Nagar,909.0,2.0,40.9,2.0,4499.4499449945
210,8th Phase JP Nagar,1900.0,4.0,90.0,3.0,4736.8421052631575
211,8th Phase JP Nagar,500.0,1.0,30.0,1.0,6000.0
212,8th Phase JP Nagar,1125.0,2.0,36.94,2.0,3283.5555555555557
213,8th Phase JP Nagar,1100.0,2.0,35.0,2.0,3181.818181818182
214,8th Phase JP Nagar,1089.0,2.0,43.55,2.0,3999.0817263544536
215,8th Phase JP Nagar,1605.0,2.0,65.0,3.0,4049.8442367601247
216,8th Phase JP Nagar,1504.0,2.0,83.0,3.0,5518.617021276596
217,8th Phase JP Nagar,2600.0,4.0,115.0,4.0,4423.076923076923
218,8th Phase JP Nagar,1368.0,2.0,54.71,3.0,3999.2690058479534
219,8th Phase JP Nagar,1089.0,2.0,43.55,2.0,3999.0817263544536
220,8th Phase JP Nagar,1224.0,2.0,48.95,3.0,3999.1830065359477
221,8th Phase JP Nagar,1513.0,2.0,62.0,2.0,4097.818902842036
222,8th Phase JP Nagar,1298.0,2.0,59.0,2.0,4545.454545454545
223,8th Phase JP Nagar,1006.0,2.0,44.0,2.0,4373.75745526839
224,8th Phase JP Nagar,500.0,1.0,33.0,1.0,6600.0
225,8th Phase JP Nagar,1160.0,2.0,95.0,2.0,8189.6551724137935
226,8th Phase JP Nagar,1245.0,2.0,59.0,2.0,4738.955823293173
227,8th Phase JP Nagar,1510.0,2.0,80.0,2.0,5298.013245033113
228,8th Phase JP Nagar,3300.0,3.0,165.0,3.0,5000.0
229,8th Phase JP Nagar,1730.0,5.0,75.0,5.0,4335.260115606937
230,8th Phase JP Nagar,1296.0,2.0,51.83,3.0,3999.2283950617284
231,8th Phase JP Nagar,1275.0,3.0,45.0,3.0,3529.4117647058824
232,8th Phase JP Nagar,1046.0,2.0,48.0,2.0,4588.910133843212
233,8th Phase JP Nagar,1269.0,2.0,50.75,3.0,3999.211977935382
234,8th Phase JP Nagar,1408.0,3.0,80.0,3.0,5681.818181818182
235,8th Phase JP Nagar,1500.0,2.0,55.0,3.0,3666.6666666666665
236,9th Phase JP Nagar,1005.0,2.0,50.0,2.0,4975.124378109453
237,9th Phase JP Nagar,1890.0,2.0,85.0,3.0,4497.354497354498
238,9th Phase JP Nagar,1100.0,2.0,65.0,2.0,5909.090909090909
239,9th Phase JP Nagar,1080.0,2.0,37.0,2.0,3425.925925925926
240,9th Phase JP Nagar,1035.0,2.0,45.0,2.0,4347.826086956522
241,9th Phase JP Nagar,5000.0,4.0,290.0,4.0,5800.0
242,9th Phase JP Nagar,1164.0,2.0,56.0,2.0,4810.996563573884
243,9th Phase JP Nagar,1005.0,2.0,42.0,2.0,4179.104477611941
244,9th Phase JP Nagar,1127.0,2.0,50.0,2.0,4436.557231588287
245,9th Phase JP Nagar,1005.0,2.0,43.0,2.0,4278.606965174129
246,9th Phase JP Nagar,835.0,2.0,37.0,2.0,4431.137724550898
247,9th Phase JP Nagar,1050.0,2.0,39.0,2.0,3714.285714285714
248,9th Phase JP Nagar,660.0,2.0,27.0,2.0,4090.909090909091
249,9th Phase JP Nagar,600.0,1.0,20.0,1.0,3333.3333333333335
250,9th Phase JP Nagar,1466.0,2.0,71.0,2.0,4843.110504774898
251,9th Phase JP Nagar,1890.0,2.0,93.0,3.0,4920.6349206349205
252,9th Phase JP Nagar,1079.0,2.0,60.0,2.0,5560.704355885079
253,9th Phase JP Nagar,1480.0,2.0,80.0,2.0,5405.405405405405
254,9th Phase JP Nagar,1200.0,2.0,80.0,2.0,6666.666666666667
255,9th Phase JP Nagar,905.0,2.0,32.0,2.0,3535.9116022099447
256,9th Phase JP Nagar,1073.0,2.0,52.36,2.0,4879.77632805219
257,9th Phase JP Nagar,1719.3,2.0,88.0,3.0,5118.362124120282
258,9th Phase JP Nagar,1780.0,3.0,88.0,3.0,4943.820224719101
259,9th Phase JP Nagar,1300.0,2.0,58.0,3.0,4461.538461538462
260,9th Phase JP Nagar,1522.0,3.0,90.0,3.0,5913.272010512484
261,9th Phase JP Nagar,1571.0,3.0,65.0,3.0,4137.492043284532
262,9th Phase JP Nagar,1900.0,4.0,80.0,4.0,4210.526315789473
263,9th Phase JP Nagar,890.0,2.0,45.0,2.0,5056.179775280899
264,9th Phase JP Nagar,1240.0,2.0,39.89,3.0,3216.935483870968
265,9th Phase JP Nagar,5000.0,4.0,300.0,4.0,6000.0
266,9th Phase JP Nagar,1240.0,2.0,42.85,3.0,3455.6451612903224
267,9th Phase JP Nagar,1050.0,2.0,35.0,2.0,3333.3333333333335
268,9th Phase JP Nagar,1331.95,2.0,69.0,2.0,5180.374638687638
269,AECS Layout,1100.0,2.0,45.0,2.0,4090.909090909091
270,AECS Layout,1028.0,2.0,42.0,2.0,4085.603112840467
271,AECS Layout,1199.0,2.0,65.0,2.0,5421.184320266889
272,AECS Layout,1080.0,2.0,55.0,2.0,5092.592592592592
273,AECS Layout,1123.0,2.0,64.0,2.0,5699.020480854853
274,AECS Layout,1308.0,2.0,60.0,2.0,4587.155963302752
275,AECS Layout,1005.0,2.0,55.0,2.0,5472.636815920398
276,AECS Layout,2000.0,3.0,90.0,3.0,4500.0
277,Abbigere,985.0,2.0,40.39,2.0,4100.507614213198
278,Abbigere,2200.0,6.0,68.0,6.0,3090.909090909091
279,Abbigere,765.0,2.0,30.0,1.0,3921.5686274509803
280,Abbigere,880.0,2.0,35.0,2.0,3977.2727272727275
281,Abbigere,795.0,2.0,32.54,2.0,4093.0817610062895
282,Abbigere,1005.0,2.0,39.59,2.0,3939.303482587065
283,Abbigere,734.0,1.0,19.82,1.0,2700.272479564033
284,Abbigere,1260.0,2.0,45.0,3.0,3571.4285714285716
285,Abbigere,1020.0,2.0,41.82,2.0,4100.0
286,Abbigere,985.0,2.0,40.39,2.0,4100.507614213198
287,Abbigere,2500.0,6.0,81.0,6.0,3240.0
288,Abbigere,795.0,2.0,32.54,2.0,4093.0817610062895
289,Abbigere,1130.0,2.0,46.33,2.0,4100.0
290,Abbigere,795.0,1.0,32.6,2.0,4100.62893081761
291,Abbigere,3000.0,8.0,150.0,8.0,5000.0
292,Abbigere,985.0,2.0,38.92,2.0,3951.269035532995
293,Abbigere,1000.0,2.0,41.0,2.0,4100.0
294,Abbigere,995.0,2.0,40.8,2.0,4100.5025125628135
295,Abbigere,1020.0,2.0,40.8,2.0,3999.9999999999995
296,Akshaya Nagar,1388.0,2.0,57.0,2.0,4106.628242074928
297,Akshaya Nagar,1070.0,2.0,54.0,2.0,5046.728971962617
298,Akshaya Nagar,1280.0,2.0,58.0,2.0,4531.25
299,Akshaya Nagar,1662.0,3.0,85.1,3.0,5120.336943441636
300,Akshaya Nagar,1897.0,3.0,120.0,3.0,6325.77754348972
301,Akshaya Nagar,1410.0,2.0,75.0,3.0,5319.148936170212
302,Akshaya Nagar,1360.0,2.0,85.0,3.0,6250.0
303,Akshaya Nagar,1600.0,2.0,65.0,3.0,4062.5
304,Akshaya Nagar,1410.0,2.0,80.0,3.0,5673.758865248227
305,Akshaya Nagar,1662.0,3.0,85.0,3.0,5114.320096269555
306,Akshaya Nagar,1662.0,3.0,85.5,3.0,5144.404332129964
307,Akshaya Nagar,1280.0,2.0,60.0,2.0,4687.5
308,Akshaya Nagar,1666.0,3.0,95.0,3.0,5702.280912364946
309,Akshaya Nagar,1575.0,3.0,90.0,3.0,5714.285714285715
310,Akshaya Nagar,1430.0,2.0,75.0,3.0,5244.755244755244
311,Akshaya Nagar,1419.0,2.0,73.0,3.0,5144.46793516561
312,Akshaya Nagar,1280.0,2.0,60.0,2.0,4687.5
313,Akshaya Nagar,1200.0,2.0,50.0,2.0,4166.666666666667
314,Akshaya Nagar,1092.0,2.0,60.0,2.0,5494.505494505494
315,Akshaya Nagar,1690.0,3.0,85.0,3.0,5029.585798816568
316,Akshaya Nagar,1700.0,3.0,80.0,3.0,4705.882352941177
317,Akshaya Nagar,1897.0,4.0,93.0,3.0,4902.477596204533
318,Akshaya Nagar,1884.0,3.0,98.0,3.0,5201.698513800425
319,Akshaya Nagar,1314.0,2.0,68.8,2.0,5235.920852359209
320,Akshaya Nagar,1690.0,3.0,85.0,3.0,5029.585798816568
321,Akshaya Nagar,1265.0,2.0,67.0,2.0,5296.442687747036
322,Akshaya Nagar,1126.0,2.0,55.0,2.0,4884.547069271758
323,Akshaya Nagar,2300.0,4.0,102.0,3.0,4434.782608695652
324,Akshaya Nagar,1662.0,3.0,90.0,3.0,5415.162454873646
325,Akshaya Nagar,1420.0,2.0,75.0,3.0,5281.69014084507
326,Akshaya Nagar,1412.0,2.0,88.0,3.0,6232.294617563739
327,Akshaya Nagar,1434.0,3.0,84.0,3.0,5857.740585774059
328,Akshaya Nagar,1890.0,4.0,100.0,3.0,5291.005291005291
329,Akshaya Nagar,2650.0,3.0,125.0,3.0,4716.981132075472
330,Akshaya Nagar,1419.0,2.0,87.0,3.0,6131.0782241014795
331,Akshaya Nagar,1300.0,2.0,54.0,2.0,4153.846153846154
332,Akshaya Nagar,1690.0,3.0,85.0,3.0,5029.585798816568
333,Akshaya Nagar,1113.0,2.0,52.0,2.0,4672.057502246182
334,Akshaya Nagar,1820.0,4.0,95.0,3.0,5219.780219780219
335,Akshaya Nagar,1100.0,2.0,48.0,2.0,4363.636363636364
336,Akshaya Nagar,1896.0,3.0,102.0,3.0,5379.7468354430375
337,Akshaya Nagar,1300.0,2.0,66.0,2.0,5076.923076923077
338,Akshaya Nagar,1225.0,2.0,68.0,2.0,5551.0204081632655
339,Akshaya Nagar,1179.0,2.0,51.0,2.0,4325.699745547074
340,Akshaya Nagar,1421.0,2.0,73.0,3.0,5137.227304714989
341,Akshaya Nagar,1893.0,4.0,95.0,3.0,5018.489170628632
342,Akshaya Nagar,900.0,2.0,45.0,2.0,5000.0
343,Ambalipura,1105.0,2.0,75.0,2.0,6787.330316742082
344,Ambalipura,1800.0,3.0,110.0,3.0,6111.111111111111
345,Ambalipura,1150.0,2.0,80.0,2.0,6956.521739130435
346,Ambalipura,1250.0,2.0,66.25,2.0,5300.0
347,Ambalipura,1332.0,2.0,79.0,2.0,5930.930930930931
348,Ambalipura,1730.0,3.0,120.0,3.0,6936.416184971098
349,Ambalipura,3500.0,3.0,198.0,3.0,5657.142857142857
350,Ambalipura,1230.0,2.0,66.25,2.0,5386.178861788618
351,Ambalipura,1351.0,2.0,77.0,2.0,5699.481865284974
352,Ambalipura,2550.0,4.0,149.0,4.0,5843.137254901961
353,Ambalipura,1817.0,3.0,102.0,3.0,5613.648871766648
354,Ambalipura,2750.0,4.0,142.0,4.0,5163.636363636364
355,Ambalipura,1303.0,2.0,80.0,2.0,6139.677666922486
356,Ambalipura,1607.0,2.0,112.0,3.0,6969.508400746733
357,Ambalipura,770.0,1.0,43.82,1.0,5690.909090909091
358,Ambalipura,1700.0,2.0,76.0,2.0,4470.588235294118
359,Ambalipura,1060.0,2.0,58.5,2.0,5518.867924528302
360,Ambalipura,1650.0,3.0,100.0,3.0,6060.606060606061
361,Ambalipura,1607.0,2.0,112.0,3.0,6969.508400746733
362,Ambalipura,1198.0,2.0,80.0,2.0,6677.79632721202
363,Ambedkar Nagar,1935.0,4.0,130.0,3.0,6718.3462532299745
364,Ambedkar Nagar,1424.0,2.0,90.0,2.0,6320.224719101124
365,Ambedkar Nagar,2225.0,4.0,169.0,3.0,7595.505617977528
366,Ambedkar Nagar,1862.0,3.0,120.0,3.0,6444.68313641246
367,Ambedkar Nagar,1850.0,4.0,139.0,3.0,7513.513513513513
368,Ambedkar Nagar,1936.0,4.0,126.0,3.0,6508.264462809917
